,participant,task,trial,choice,reward,RT,expected_reward0,expected_reward1,forced_choice,horizon
102,0,13,2,1,67.0,1.220425,80,60,True,5
103,0,13,3,0,80.0,0.730462,80,60,True,5
104,0,13,4,0,78.0,1.819631,80,60,False,5
105,0,14,0,1,54.0,0.400633,40,60,True,10
106,0,14,1,0,35.0,0.326561,40,60,True,10
107,0,14,2,0,36.0,0.31309,40,60,True,10
108,0,14,3,1,43.0,0.313873,40,60,True,10
109,0,14,4,0,51.0,2.082215,40,60,False,10
110,0,14,5,1,68.0,0.749579,40,60,False,10
111,0,14,6,1,62.0,0.380203,40,60,False,10
112,0,14,7,1,55.0,0.130214,40,60,False,10
113,0,14,8,1,52.0,0.162646,40,60,False,10
114,0,14,9,1,78.0,0.104861,40,60,False,10
115,0,15,0,1,35.0,0.400231,10,40,True,5
116,0,15,1,1,45.0,0.367629,10,40,True,5
117,0,15,2,0,18.0,0.32855,10,40,True,5
118,0,15,3,0,2.0,0.840134,10,40,True,5
119,0,15,4,1,46.0,0.466985,10,40,False,5
120,0,16,0,1,47.0,0.366782,72,60,True,10
121,0,16,1,0,83.0,0.326374,72,60,True,10
122,0,16,2,1,71.0,0.312377,72,60,True,10
123,0,16,3,1,58.0,0.402241,72,60,True,10
124,0,16,4,0,61.0,0.496154,72,60,False,10
125,0,16,5,1,57.0,0.648758,72,60,False,10
126,0,16,6,0,79.0,0.115353,72,60,False,10
127,0,16,7,0,70.0,0.204473,72,60,False,10
128,0,16,8,0,63.0,0.041214,72,60,False,10
129,0,16,9,0,64.0,0.084379,72,60,False,10
130,0,17,0,0,99.0,0.462744,90,60,True,10
131,0,17,1,1,61.0,0.282771,90,60,True,10
132,0,17,2,1,55.0,0.396487,90,60,True,10
133,0,17,3,0,99.0,0.276441,90,60,True,10
134,0,17,4,0,89.0,0.550732,90,60,False,10
135,0,17,5,0,90.0,0.286417,90,60,False,10
136,0,17,6,0,88.0,0.311173,90,60,False,10
137,0,17,7,0,86.0,0.191909,90,60,False,10
138,0,17,8,0,97.0,0.213688,90,60,False,10
139,0,17,9,0,83.0,0.184918,90,60,False,10
140,0,18,0,0,72.0,0.430475,60,52,True,5
141,0,18,1,1,59.0,0.286564,60,52,True,5
142,0,18,2,1,49.0,0.306153,60,52,True,5
143,0,18,3,0,59.0,0.298018,60,52,True,5
144,0,18,4,0,52.0,2.603676,60,52,False,5
145,0,19,0,1,22.0,0.401032,40,28,True,5
146,0,19,1,0,35.0,0.301229,40,28,True,5
147,0,19,2,0,52.0,0.352316,40,28,True,5
148,0,19,3,1,15.0,0.329763,40,28,True,5
149,0,19,4,0,33.0,1.617126,40,28,False,5
150,0,20,0,1,50.0,0.424088,40,48,True,5
151,0,20,1,0,38.0,0.267814,40,48,True,5
152,0,20,2,1,39.0,0.291356,40,48,True,5
153,0,20,3,1,48.0,0.321629,40,48,True,5
154,0,20,4,1,39.0,0.978283,40,48,False,5
155,0,21,0,0,78.0,0.423794,80,60,True,10
