,sub,prolific_id,elic,p1,p2,rtime,out,cfout,cho,corr,10,trial,cond,cont1,cont2,15,16,17,rew,sess,op1,op2,ev1,ev2,catch,25,26,dist,plot,dbtime
10814,4654212483.0,,0.0,0.2,0.6,860.0,-1.0,-1.0,2.0,1.0,1.0,87.0,-1.0,2.0,6.0,-1.0,-1.0,-1.0,58.0,0.0,-1.0,-1.0,-0.6,0.2,0.0,1.0,1451208.0,-1.0,0.0,
10815,7312552984.0,,0.0,0.7,0.2,1310.0,-1.0,-1.0,2.0,0.0,1.0,10.0,-1.0,7.0,2.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.4,-0.6,0.0,0.0,245014.0,-1.0,0.0,
10816,3884054825.0,,0.0,0.3,0.1,1265.0,-1.0,-1.0,1.0,1.0,1.0,6.0,-1.0,3.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-0.4,-0.8,0.0,1.0,206345.0,-1.0,0.0,
10817,2112416812.0,,0.0,0.3,0.0,1580.0,-1.0,-1.0,1.0,1.0,1.0,8.0,-1.0,3.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-0.4,-1.0,0.0,1.0,212560.0,-1.0,0.0,
10818,6535203292.0,,0.0,0.4,0.3,2046.0,-1.0,-1.0,2.0,0.0,1.0,7.0,-1.0,4.0,3.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.2,-0.4,0.0,1.0,202582.0,-1.0,0.0,
10819,1193652505.0,,-1.0,0.6,0.4,854.0,1.0,-1.0,1.0,1.0,1.0,100.0,3.0,6.0,4.0,6.0,15.0,-1.0,55.0,0.0,6.0,15.0,0.2,-0.2,-1.0,0.0,1834227.0,0.0,0.0,
10820,2914073961.0,,-1.0,0.7,0.3,1273.0,1.0,-1.0,1.0,1.0,0.0,3.0,2.0,-1.0,-1.0,1.0,3.0,-1.0,0.0,-1.0,1.0,3.0,0.4,-0.4,-1.0,0.0,100059.0,0.0,0.0,
10821,2656619196.0,,2.0,0.7,0.0,4308.0,1.0,-1.0,35.0,0.0,1.0,1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.4,-1.0,0.0,0.0,238328.0,35.0,0.99,
10822,7808118576.0,,2.0,0.6,0.0,3360.0,1.0,-1.0,50.0,0.0,1.0,1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.2,-1.0,0.0,0.0,362968.0,10.0,0.53,
10823,5323647129.0,,0.0,0.9,1.0,711.0,1.0,1.0,2.0,1.0,1.0,79.0,-1.0,9.0,10.0,-1.0,-1.0,1.0,66.0,0.0,-1.0,-1.0,0.8,1.0,0.0,0.0,1723792.0,-1.0,0.0,
10824,159914671.0,,0.0,0.7,0.4,2487.0,-1.0,-1.0,1.0,1.0,1.0,9.0,-1.0,7.0,4.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.4,-0.2,1.0,0.0,194096.0,-1.0,0.0,
10825,3964929115.0,,-1.0,0.8,0.2,1390.0,1.0,-1.0,1.0,1.0,0.0,2.0,1.0,-1.0,-1.0,1.0,3.0,-1.0,0.0,-1.0,1.0,3.0,0.6,-0.6,-1.0,0.0,69530.0,0.0,0.0,
10826,8399659739.0,,-1.0,0.8,0.2,1454.0,1.0,-1.0,1.0,1.0,0.0,2.0,1.0,-1.0,-1.0,3.0,7.0,-1.0,0.0,-1.0,3.0,7.0,0.6,-0.6,-1.0,0.0,124507.0,0.0,0.0,
10827,4654212483.0,,0.0,0.2,0.7,650.0,1.0,1.0,2.0,1.0,1.0,88.0,-1.0,2.0,7.0,-1.0,-1.0,-1.0,59.0,0.0,-1.0,-1.0,-0.6,0.4,0.0,1.0,1454591.0,-1.0,0.0,
10828,4028972236.0,,0.0,0.7,0.2,3436.0,1.0,-1.0,1.0,1.0,1.0,3.0,-1.0,7.0,2.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.4,-0.6,0.0,0.0,258635.0,-1.0,0.0,
10829,3884054825.0,,0.0,0.3,0.2,834.0,-1.0,-1.0,1.0,1.0,1.0,7.0,-1.0,3.0,2.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-0.4,-0.6,0.0,1.0,210112.0,-1.0,0.0,
10830,2112416812.0,,0.0,0.8,0.3,760.0,1.0,-1.0,1.0,1.0,1.0,9.0,-1.0,8.0,3.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.6,-0.4,1.0,0.0,216644.0,-1.0,0.0,
10831,7312552984.0,,0.0,0.7,0.0,1213.0,1.0,-1.0,1.0,1.0,1.0,11.0,-1.0,7.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.4,-1.0,0.0,1.0,248841.0,-1.0,0.0,
10832,6535203292.0,,0.0,0.4,0.2,952.0,1.0,-1.0,1.0,1.0,1.0,8.0,-1.0,4.0,2.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-0.2,-0.6,0.0,1.0,207142.0,-1.0,0.0,
10833,1193652505.0,,-1.0,0.6,0.4,912.0,-1.0,-1.0,1.0,1.0,1.0,101.0,3.0,6.0,4.0,6.0,15.0,-1.0,54.0,0.0,6.0,15.0,0.2,-0.2,-1.0,0.0,1837586.0,0.0,0.0,
10834,2914073961.0,,-1.0,0.7,0.3,580.0,1.0,-1.0,1.0,1.0,0.0,4.0,2.0,-1.0,-1.0,1.0,3.0,-1.0,0.0,-1.0,1.0,3.0,0.4,-0.4,-1.0,0.0,103839.0,0.0,0.0,
10835,3103127273.0,,-1.0,0.8,0.2,2707.0,-1.0,1.0,2.0,0.0,0.0,0.0,1.0,-1.0,-1.0,5.0,8.0,-1.0,0.0,-1.0,8.0,5.0,0.6,-0.6,-1.0,1.0,69274.0,0.0,0.0,
10836,9565549899.0,,2.0,0.4,0.0,14305.0,1.0,-1.0,45.0,0.0,1.0,6.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-29.0,0.0,-1.0,-1.0,-0.2,-1.0,1.0,0.0,1788999.0,5.0,0.97,
10837,7808118576.0,,2.0,0.3,0.0,2531.0,-1.0,-1.0,50.0,0.0,1.0,2.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.4,-1.0,0.0,0.0,367034.0,20.0,0.79,
10838,8833192112.0,,0.0,0.7,0.3,1742.0,-1.0,-1.0,1.0,1.0,1.0,0.0,-1.0,7.0,3.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,0.4,-0.4,0.0,1.0,116869.0,-1.0,0.0,
10839,159914671.0,,0.0,0.9,0.0,1145.0,1.0,-1.0,1.0,1.0,1.0,10.0,-1.0,9.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.8,-1.0,0.0,0.0,199110.0,-1.0,0.0,
10840,4884548637.0,,2.0,0.1,0.0,8999.0,1.0,-1.0,10.0,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.8,-1.0,1.0,0.0,362908.0,0.0,0.63,
10841,5323647129.0,,0.0,0.9,0.0,1712.0,1.0,-1.0,1.0,1.0,1.0,80.0,-1.0,9.0,0.0,-1.0,-1.0,1.0,67.0,0.0,-1.0,-1.0,0.8,-1.0,0.0,1.0,1727016.0,-1.0,0.0,
10842,8399659739.0,,-1.0,0.7,0.3,1433.0,1.0,-1.0,1.0,1.0,0.0,3.0,2.0,-1.0,-1.0,4.0,5.0,-1.0,0.0,-1.0,4.0,5.0,0.4,-0.4,-1.0,0.0,128472.0,0.0,0.0,
10843,3964929115.0,,-1.0,0.6,0.4,1672.0,-1.0,1.0,1.0,1.0,0.0,3.0,3.0,-1.0,-1.0,4.0,6.0,1.0,0.0,-1.0,6.0,4.0,0.2,-0.2,-1.0,1.0,73442.0,0.0,0.0,
10844,6017802110.0,,0.0,0.8,0.9,6201.0,1.0,1.0,2.0,1.0,1.0,27.0,-1.0,8.0,9.0,-1.0,-1.0,1.0,50.0,0.0,-1.0,-1.0,0.6,0.8,0.0,0.0,1387404.0,-1.0,0.0,
10845,4654212483.0,,0.0,0.2,0.5,1324.0,1.0,-1.0,2.0,1.0,1.0,89.0,-1.0,2.0,5.0,-1.0,-1.0,-1.0,60.0,0.0,-1.0,-1.0,-0.6,0.0,0.0,1.0,1457763.0,-1.0,0.0,
10846,3884054825.0,,0.0,0.3,0.3,899.0,-1.0,-1.0,1.0,1.0,1.0,8.0,-1.0,3.0,3.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-0.4,-0.4,0.0,1.0,213448.0,-1.0,0.0,
10847,2112416812.0,,0.0,0.8,0.2,781.0,1.0,1.0,1.0,1.0,1.0,10.0,-1.0,8.0,2.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.6,-0.6,0.0,0.0,219907.0,-1.0,0.0,
10848,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10849,2914073961.0,,-1.0,0.7,0.3,481.0,-1.0,-1.0,1.0,1.0,0.0,5.0,2.0,-1.0,-1.0,1.0,3.0,-1.0,0.0,-1.0,1.0,3.0,0.4,-0.4,-1.0,0.0,106925.0,0.0,0.0,
10850,2629781690.0,,2.0,0.8,0.0,9626.0,1.0,-1.0,40.0,0.0,1.0,0.0,-1.0,8.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.6,-1.0,0.0,0.0,266549.0,40.0,0.31,
10851,6535203292.0,,0.0,0.6,0.4,1193.0,1.0,1.0,1.0,1.0,1.0,9.0,-1.0,6.0,4.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.2,-0.2,1.0,0.0,210611.0,-1.0,0.0,
10852,2656619196.0,,2.0,0.1,0.0,5103.0,1.0,-1.0,10.0,1.0,1.0,2.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.8,-1.0,1.0,0.0,243341.0,0.0,0.73,
10853,6866710571.0,,-1.0,0.8,0.2,5881.0,1.0,-1.0,1.0,1.0,0.0,2.0,1.0,-1.0,-1.0,7.0,1.0,-1.0,0.0,-1.0,7.0,1.0,0.6,-0.6,-1.0,0.0,148355.0,0.0,0.0,
10854,1193652505.0,,-1.0,0.6,0.4,1852.0,1.0,1.0,1.0,1.0,1.0,102.0,3.0,6.0,4.0,15.0,6.0,1.0,55.0,0.0,6.0,15.0,0.2,-0.2,-1.0,1.0,1841005.0,0.0,0.0,
10855,7808118576.0,,2.0,0.9,0.0,2478.0,1.0,-1.0,50.0,0.0,1.0,3.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.8,-1.0,0.0,0.0,370269.0,40.0,0.02,
10856,9565549899.0,,2.0,0.3,0.0,3682.0,-1.0,-1.0,50.0,0.0,1.0,7.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-30.0,0.0,-1.0,-1.0,-0.4,-1.0,0.0,0.0,1804044.0,20.0,0.49,
